"regulator","gene_id"
"NadQ","bll2542"
"NadQ","bll2541"
"NadQ","bll2540"
"NrdR","bll4274"
"NrdR","bll0007"
"NrdR","bll0006"
"NikR","bll6949"
"NikR","bll6948"
"NikR","bll6910"
"Zur","bll2461"
"Zur","bll2460"
"Zur","bll7771"
"Zur","bll7770"
"Zur","bll7769"
"Zur","bll7768"
"Zur","bll7767"
"NnrR","bll6222"
"NnrR","bsl3211"
"NnrR","bsr7087"
"NnrR","blr7088"
"NnrR","blr7089"
"NnrR","blr7090"
"NnrR","bll7083"
"NnrR","blr3212"
"NnrR","bsr3213"
"NnrR","bll7628"
"NnrR","bll7627"
"NnrR","bll7626"
"NnrR","blr7629"
"NnrR","blr7630"
"NnrR","blr7084"
"NnrR","blr0314"
"NnrR","bll7086"
"NnrR","bsl7085"
"NnrR","bll2007"
"NnrR","blr3214"
"NnrR","blr3215"
"NnrR","blr3216"
"NnrR","blr3217"
"HutC","blr6244"
"HutC","blr6245"
"HutC","blr6246"
"HutC","blr6247"
"HutC","blr6248"
"HutC","bll6243"
"HutC","bll6242"
"HutC","bll6241"
"Irr","bll6680"
"Irr","blr7895"
"Irr","bll2737"
"Irr","bll2736"
"Irr","bll7968"
"Irr","bll7967"
"Irr","bsr6522"
"Irr","blr6523"
"Irr","blr7077"
"Irr","blr7078"
"Irr","blr7079"
"Irr","bll7076"
"Irr","bsl6681"
"Irr","blr4504"
"Irr","bll5796"
"Irr","blr3904"
"Irr","blr3905"
"Irr","blr3906"
"Irr","blr3907"
"Irr","blr3908"
"NtrC","bll4571"
"NtrC","bll4570"
"NtrC","blr1448"
"NtrC","blr1449"
"NtrC","blr1450"
"NtrC","blr1451"
"NtrC","blr1452"
"NtrC","blr1453"
"NtrC","blr1454"
"NtrC","blr1455"
"NtrC","blr1456"
"NtrC","blr1457"
"NtrC","blr4948"
"NtrC","blr4949"
"NtrC","blr0612"
"NtrC","blr0613"
"NtrC","blr1036"
"NtrC","blr1037"
"NtrC","blr1038"
"NtrC","blr1039"
"NtrC","blr2806"
"NtrC","blr2807"
"NtrC","blr2808"
"NtrC","blr2809"
"Mur","blr0095"
"Mur","bll5044"
"Mur","bll0768"
"LexA","blr4826"
"LexA","blr4702"
"LexA","blr2519"
"LexA","bll5755"
"LexA","blr4761"
"LexA","blr7466"
"LexA","blr3024"
"LexA","blr3025"
"LexA","blr3026"
"LexA","blr1535"
"LexA","blr1536"
"LexA","blr1537"
"LexA","bll0661"
"LexA","blr8110"
"LexA","bll4698"
"NifA","blr2037"
"NifA","bll2060"
"NifA","bll2059"
"NifA","blr1743"
"NifA","blr1744"
"NifA","blr1745"
"NifA","blr1746"
"NifA","blr1747"
"NifA","blr1748"
"NifA","bsr1749"
"NifA","bsr1750"
"NifA","blr1755"
"NifA","blr1771"
"NifA","blr2144"
"NifA","blr2145"
"NifA","blr2143"
"NifA","blr1720"
"NifA","blr1721"
"NifA","blr1722"
"NifA","blr1883"
"NifA","bll1075"
"NifA","blr2036"
"NifA","blr6951"
"NifA","blr6952"
"NifA","blr6953"
"NifA","blr1719"
"PsrA","blr5456"
"PsrA","bll5455"
"XylR","blr2269"
"XylR","blr2270"
"XylR","blr2271"
"XylR","bll2268"
"VanR","blr2390"
"VanR","blr2391"
"VanR","blr2392"
"PhnF","blr1221"
"PhnF","blr1222"
"PhnF","blr1223"
"PhnF","blr1224"
"PhnF","blr1225"
"PhnF","blr1226"
"PhnF","blr1227"
"PhnF","blr1228"
"PhnF","bll1220"
"HrcA","bsr7532"
"HrcA","blr7533"
"HrcA","blr6978"
"HrcA","blr6979"
"HrcA","blr5625"
"HrcA","blr5626"
"HrcA","blr5226"
"NmlR","bll4578"
"NmlR","bsl4577"
"BioR","blr2095"
"BioR","blr2096"
"BioR","blr2097"
"BioR","blr2098"
"BioR","blr2099"
"BioR","bll2094"
"XylR","blr1118"
"XylR","blr1119"
"XylR","blr1120"
"XylR","blr1121"
"XylR","blr1122"
"XylR","blr1123"
"bll3974","bll3981"
"bll3974","bll3980"
"bll3974","bll3979"
"bll3974","bll3978"
"bll3974","bll3977"
"bll3974","bll3976"
"bll3974","bll3975"
"bll3974","bll3974"
"bll3916","bll3916"
"bll3916","bll3915"
"bll3916","bll3914"
"bll3916","bll3913"
"bll3916","blr3917"
"bll3916","blr3918"
"bll3916","blr3919"
"bll3916","blr3920"
"bll3916","blr3921"
"blr3394","blr3389"
"blr3394","blr3390"
"blr3394","blr3391"
"blr3394","blr3392"
"blr3394","blr3393"
"blr3394","blr3394"
"blr0404","bll0403"
"blr5860","bll5859"
"blr6977","bll6976"
"bll4368","blr6041"
"bll4368","blr6042"
"bll4368","blr6040"
"bll4368","bll6039"
"bll4368","bll6038"
"bll4368","bll6037"
"bll4368","bll6036"
"bll4368","blr4369"
"bll4368","blr4370"
"bll4368","blr4371"
"bll4368","blr4372"
"bll4368","blr4373"
"bll4368","blr4374"
"bll4368","bll4368"
"bll4154","blr4155"
"blr2901","bll2900"
"bll6835","bll3929"
"bll6835","blr3930"
"bll6835","blr3931"
"bll6835","blr3932"
"bll6835","blr6836"
"bll6835","bll6835"
"bll6835","bll6834"
"bll6835","bll6833"
"bll6835","bll6832"
"bll6835","bll6831"
"bll6835","bll6830"
"MdcY","bll1276"
"MdcY","blr1277"
"MdcY","blr1278"
"MdcY","blr1279"
"MdcY","bll0269"
"MdcY","bll0268"
"MdcY","bll0267"
"MdcY","bll0266"
"MdcY","bll0265"
"MdcY","bll0264"
"MdcY","bll0263"
"FixK","blr2763"
"FixK","blr2764"
"FixK","bsr2765"
"FixK","blr2766"
"FixK","blr7961"
"FixK","blr4637"
"FixK","bll3998"
"FixK","blr2767"
"FixK","blr2768"
"FixK","blr2769"
"FixK","bsr2770"
"FixK","blr6070"
"FixK","blr6071"
"FixK","blr6062"
"FixK","bll6061"
"FixK","bsr7036"
"FixK","blr7037"
"FixK","blr7038"
"FixK","blr7039"
"FixK","blr7040"
"FixK","bll5655"
"FixK","blr1311"
"FixK","bll1766"
"FixK","blr4655"
"FixK","blr0314"
"FixK","blr3521"
"FixK","bll2758"
"FixK","bll6073"
"FixK","blr7089"
"FixK","blr7090"
"FixK","bll1200"
"FixK","bll7086"
"FixK","bsr3073"
"GulR","blr0368"
"GulR","blr5871"
"GulR","blr5872"
"GulR","blr5873"
"GulR","blr5874"
"GulR","blr5870"
"GulR","blr5869"
"GulR","bll6551"
"GulR","bll6550"
"FixJ","bll2757"
"bll2166","blr2167"
"bll2166","blr2168"
"bll2166","blr2169"
"bll2166","blr2170"
"bll2166","blr2171"
"bll2166","bll2166"
"FixK2","blr7544"
"FixK2","bll7083"
"FixK2","bll0225"
"FixK2","blr0314"
"FixK2","blr0315"
"FixK2","blr0316"
"FixK2","blr0317"
"FixK2","blr0318"
"FixK2","blr0319"
"FixK2","blr0320"
"FixK2","blr0964"
"FixK2","blr0984"
"FixK2","blr1311"
"FixK2","bll1766"
"FixK2","blr1883"
"FixK2","bll1944"
"FixK2","blr2006"
"FixK2","bll2007"
"FixK2","bll2330"
"FixK2","bll2329"
"FixK2","bsl2328"
"FixK2","bll2388"
"FixK2","bll2664"
"FixK2","blr2763"
"FixK2","blr2764"
"FixK2","blr2932"
"FixK2","blr2933"
"FixK2","bsr3073"
"FixK2","bsl3211"
"FixK2","blr3212"
"FixK2","bsr3213"
"FixK2","blr3214"
"FixK2","blr3215"
"FixK2","blr3216"
"FixK2","blr3217"
"FixK2","bll3611"
"FixK2","bll3835"
"FixK2","blr4191"
"FixK2","blr4352"
"FixK2","bsl4623"
"FixK2","blr4770"
"FixK2","bll5026"
"FixK2","blr5774"
"FixK2","blr5775"
"FixK2","bsr5776"
"FixK2","bll5842"
"FixK2","bll6222"
"FixK2","blr6437"
"FixK2","bll6496"
"FixK2","blr7084"
"FixK2","bsl7085"
"FixK2","bll7086"
"FixK2","blr7089"
"FixK2","bll7628"
"FixK2","bll7627"
"FixK2","blr7684"
"FixK2","blr7685"
"FixK2","bll7787"
"FixK2","blr7961"
"FixK2","bll7981"
"FixK2","bll7982"
"FixK2","bll0330"
"FixK2","bll0818"
"FixK2","blr1289"
"FixK2","bll2517"
"FixK2","bll2518"
"FixK2","bll3115"
"FixK2","bll3117"
"FixK2","blr3815"
"FixK2","blr4240"
"FixK2","blr4241"
"FixK2","bll4412"
"FixK2","bll4634"
"FixK2","blr4635"
"FixK2","blr4637"
"FixK2","bll4644"
"FixK2","bll4645"
"FixK2","blr4652"
"FixK2","blr4653"
"FixK2","blr4654"
"FixK2","blr4655"
"FixK2","bsr6066"
"FixK2","blr6067"
"FixK2","bll6073"
"FixK2","blr6074"
"FixK2","bll6525"
"FixK2","bsr7087"
"FixK2","blr7088"
"FixK2","blr7345"
"FixK2","bll7986"
"FixK2","bll7987"
"FixK2","bll7988"
"FixK2","bll7989"
"FixK2","bll7990"
"FixK2","bll7991"
"FixK2","bsl7992"
"FixK2","bll7993"
"FixK2","bll1200"
"FixK2","bll5153"
"FixK2","blr5037"
"NodD2","blr2025"
"NodD2","blr2026"
"NodD2","blr2027"
"NodD2","blr2028"
"NodD2","blr2029"
"NodD2","blr2030"
"NodD2","blr2031"
"NodD1","bll2023"
"NodD1","blr2025"
"NodD1","blr2026"
"NodD1","blr2027"
"NodD1","blr2028"
"NodD1","blr2029"
"NodD1","blr2030"
"NodD1","blr2031"
"NolA","bll2019"
"NolA","bll2021"
"RegR","blr0314"
"RegR","bll2388"
"RegR","blr2806"
"RegR","blr3214"
"RegR","bll3466"
"RegR","bll4130"
"PhaR","bll5155"
"PhaR","bll7395"
"PhaR","blr2887"
"PhaR","blr0227"
"PhaR","blr0908"
"PhaR","blr0899"
"PhaR","blr0149"
"PhaR","blr2367"
"PhaR","blr6207"
"PhaR","bll4779"
"PhaR","bll4780"
"PhaR","bll4781"
"PhaR","bll4782"
"PhaR","bll4783"
"PhaR","blr2955"
"PhaR","blr5962"
"PhaR","bll0225"
"PhaR","bll1447"
"PhaR","blr2242"
"PhaR","bll2363"
"PhaR","bll2471"
"PhaR","bll2537"
"PhaR","bll3794"
"PhaR","blr4162"
"PhaR","bsr4236"
"PhaR","blr4486"
"PhaR","blr4501"
"PhaR","bsr4726"
"PhaR","bll4785"
"PhaR","bsr5273"
"PhaR","bll5524"
"PhaR","blr5525"
"PhaR","blr5594"
"PhaR","bll6290"
"PhaR","blr6718"
"PhaR","blr7089"
"PhaR","blr7872"
"PhaR","bll0304"
"PhaR","blr0305"
"PhaR","bll0805"
"PhaR","blr0806"
"PhaR","bll1416"
"PhaR","blr2204"
"PhaR","bll2446"
"PhaR","bsr2601"
"PhaR","blr2810"
"PhaR","bll2914"
"PhaR","bll3387"
"PhaR","blr3795"
"PhaR","blr3904"
"PhaR","blr4188"
"PhaR","bll4430"
"PhaR","bsr4431"
"PhaR","bll4833"
"PhaR","bsr4834"
"PhaR","blr4841"
"PhaR","bll4952"
"PhaR","bll5160"
"PhaR","bsl5321"
"PhaR","bll5335"
"PhaR","blr5540"
"PhaR","bsl5717"
"PhaR","bll6121"
"PhaR","bll6206"
"PhaR","blr6443"
"PhaR","blr6465"
"PhaR","bll6733"
"PhaR","bsr6735"
"PhaR","blr6837"
"PhaR","blr6886"
"PhaR","bll7487"
"PhaR","bll7511"
"PhaR","bll7663"
"PhaR","bll8141"
"FnrN","blr2763"
"FnrN","blr2764"
"FnrN","bsr2765"
"FnrN","blr2766"
"FnrN","blr7961"
"FnrN","blr4637"
"FnrN","bll3998"
"FnrN","blr2767"
"FnrN","blr2768"
"FnrN","blr2769"
"FnrN","bsr2770"
"FnrN","blr6070"
"FnrN","blr6071"
"FnrN","blr6062"
"FnrN","bll6061"
"FnrN","bsr7036"
"FnrN","blr7037"
"FnrN","blr7038"
"FnrN","blr7039"
"FnrN","blr7040"
"FnrN","bll5655"
"FnrN","blr1311"
"FnrN","bll1766"
"FnrN","blr4655"
"FnrN","blr0314"
"FnrN","blr3521"
"FnrN","bll2758"
"FnrN","bll6073"
"FnrN","blr7089"
"FnrN","blr7090"
"FnrN","bll1200"
"FnrN","bll7086"
"FnrN","bsr3073"
"AadR","blr2763"
"AadR","blr2764"
"AadR","bsr2765"
"AadR","blr2766"
"AadR","blr7961"
"AadR","blr4637"
"AadR","bll3998"
"AadR","blr2767"
"AadR","blr2768"
"AadR","blr2769"
"AadR","bsr2770"
"AadR","blr6070"
"AadR","blr6071"
"AadR","blr6062"
"AadR","bll6061"
"AadR","bsr7036"
"AadR","blr7037"
"AadR","blr7038"
"AadR","blr7039"
"AadR","blr7040"
"AadR","bll5655"
"AadR","blr1311"
"AadR","bll1766"
"AadR","blr4655"
"AadR","blr0314"
"AadR","blr3521"
"AadR","bll2758"
"AadR","bll6073"
"AadR","blr7089"
"AadR","blr7090"
"AadR","bll1200"
"AadR","bll7086"
"AadR","bsr3073"
"NifA","bll1767"
"NifA","blr1759"
"NifA","bsr1760"
"NifA","blr1761"
"NifA","blr1850"
"NifA","blr1851"
"NifA","bsr1739"
"NifA","blr1769"
"NifA","bll2085"
"NifA","blr2108"
"NifA","blr1954"
"NifA","blr1992"
"NifA","blr2725"
"NifA","bll0889"
