,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,imodulon_name,Function,Category,Sub_category,explained_variance,imodulon_type
Unchar-1,Unchar,,,,,,,,58,,Unchar-1,Unknown,Uncharacterized,Uncharacterized iModulons,0.001248398,Uncharacterized
T3SS,T3SS,,,,,,,,45,,T3SS,T3SS system,Structural components,Secretion system,0.036405152,Functional
Unchar-2,Unchar,,,,,,,,18,,Unchar-2,Unknown,Uncharacterized,Uncharacterized iModulons,0.001036159,Uncharacterized
FixK2-1,FixK2,1.02e-21,8.14e-21,0.18852459,0.23,0.207207207,23.0,100.0,122,1.0,FixK2-1,Oxidative adaptation,Stress,Oxidative adaptation,0.014985188,Regulatory
bll2166,bll2166,3.94e-06,7.88e-06,0.06122449,0.5,0.109090909,3.0,6.0,49,1.0,bll2166,Amino acid transport,Amino acid,Transportation,0.011833256,Regulatory
NifA/RpoN,NifA/RpoN,5.31e-49,4.7699999999999995e-48,0.183544304,0.935483871,0.306878307,29.0,31.0,158,1.0,NifA;RpoN,Nitrogen fixation,Nitrogen,Nitrogen metabolism	,0.098369323,Regulatory
PhyR/EcfG-1,PhyR,6.1e-70,1.83e-69,0.310344828,1.0,0.473684211,36.0,36.0,116,1.0,PhyR-1,Multiple stress,Stress,Multiple stress,0.011136053,Regulatory
Denitrification,Denitrification,,,,,,,,11,,Denitrification,Denitrification,Nitrogen,Nitrogen metabolism	,0.005865757,Functional
Null-1,Null,,,,,,,,0,,Null-1,Null,Uncharacterized,Empty,0.001745123,Uncharacterized
Methane,Methane,,,,,,,,14,,Methane,Methane oxidation ,Carbon,Small carbon catabolism,0.00183069,Functional
Unchar-3,Unchar,,,,,,,,62,,Unchar-3,Unknown,Uncharacterized,Uncharacterized iModulons,0.002832804,Uncharacterized
Irr,Irr,1.69e-33,3.38e-33,0.31372549,0.8,0.450704225,16.0,20.0,51,1.0,Irr,Inorganic ion transport and metabolism,Element homeostasis,Iron homeostasis,0.026938709,Regulatory
Multiple_stress,Multiple_stress,,,,,,,,38,,Multiple_stress-1,"Multiple stress response, Hydrogen peroxide",Stress,Multiple stress,0.014683981,Functional
bll3348,bll3348,,,,,,,,15,,bll3348,Amino acid transportation,Amino acid,Transportation,0.002942864,Functional
Unchar-4,Unchar,,,,,,,,2,,Unchar-4,Unknown,Uncharacterized,Uncharacterized iModulons,0.00110925,Uncharacterized
Genomic-1,Genomic,,,,,,,,1,,Genomic-1,FixK deletion,Genomic,Genomic iModulon,0.010427856,Genomic
Unchar-5,Unchar,,,,,,,,23,,Unchar-5,Unknown,Uncharacterized,Uncharacterized iModulons,0.01383806,Uncharacterized
