Unnamed: 0,projectID,condition,reference_condition,title,geo_accession,status,submission_date,last_update_date
GSM94778,95001,low_iron,low_iron,"Bradyrhizobium japonicum strain LO, low iron, biological rep_1",GSM94778,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94780,95001,low_iron,low_iron,"Bradyrhizobium japonicum strain LO, low iron, biological rep_2",GSM94780,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94781,95001,low_iron,low_iron,"Bradyrhizobium japonicum strain LO, low iron, biological rep_3",GSM94781,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94783,95001,high_iron,low_iron,"Bradyrhizobium japonicum strain LO, high iron, biological rep_1",GSM94783,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94784,95001,high_iron,low_iron,"Bradyrhizobium japonicum strain LO, high iron, biological rep_2",GSM94784,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94785,95001,high_iron,low_iron,"Bradyrhizobium japonicum strain LO, high iron, biological rep_3",GSM94785,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94787,95001,irr_mutant_strain,low_iron,"Bradyrhizobium japonicum irr mutant strain LODTM5, low iron, biological rep_1",GSM94787,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94788,95001,irr_mutant_strain,low_iron,"Bradyrhizobium japonicum irr mutant strain LODTM5, low iron, biological rep_2",GSM94788,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM94790,95001,irr_mutant_strain,low_iron,"Bradyrhizobium japonicum irr mutant strain LODTM5, low iron, biological rep_3",GSM94790,Public on Mar 15 2006,Feb 01 2006,Feb 02 2006
GSM212687,101727,110spc4_genistein,110spc4,"Bradyrhizobium japonicum 110spc4, induced with genistein, biological replicate 3",GSM212687,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212688,101727,110spc4_genistein,110spc4,"Bradyrhizobium japonicum 110spc4, induced with genistein, biological replicate 2",GSM212688,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212689,101727,110spc4_genistein,110spc4,"Bradyrhizobium japonicum 110spc4, induced with genistein, biological replicate 1",GSM212689,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212690,101727,110spc4,110spc4,"Bradyrhizobium japonicum 110spc4, biological replicate 3",GSM212690,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212691,101727,110spc4,110spc4,"Bradyrhizobium japonicum 110spc4, biological replicate 2",GSM212691,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212692,101727,110spc4,110spc4,"Bradyrhizobium japonicum 110spc4, biological replicate 1",GSM212692,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212768,101727,mutant_strain_613,110spc4,"Bradyrhizobium japonicum mutant strain 613, induced with genistein, biological replicate 3",GSM212768,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212769,101727,mutant_strain_613,110spc4,"Bradyrhizobium japonicum mutant strain 613, induced with genistein, biological replicate 2",GSM212769,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212772,101727,mutant_strain_901,110spc4,"Bradyrhizobium japonicum mutant strain 901, induced with genistein, biological replicate 2",GSM212772,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM212773,101727,mutant_strain_901,110spc4,"Bradyrhizobium japonicum mutant strain 901, induced with genistein, biological replicate 1",GSM212773,Public on Oct 15 2007,Jul 24 2007,Aug 14 2011
GSM210216,102625,mutant_strain_N50-97_nodules,110spc4_aerobic _PSY,N50-97 nodules soybean 21 Days 1,GSM210216,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210217,102625,mutant_strain_N50-97_nodules,110spc4_aerobic _PSY,N50-97 nodules soybean 21 Days 2,GSM210217,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210218,102625,mutant_strain_N50-97_nodules,110spc4_aerobic _PSY,N50-97 nodules soybean 21 Days 3,GSM210218,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210221,102625,mutant_strain_N50-97_micro,110spc4_aerobic _PSY,N50-97 micro PSY 1,GSM210221,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210224,102625,mutant_strain_N50-97_micro,110spc4_aerobic _PSY,N50-97 micro PSY 4,GSM210224,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210225,102625,mutant_strain_N50-97_micro,110spc4_aerobic _PSY,N50-97 micro PSY 5,GSM210225,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210226,102625,mutant_strain_N50-97_micro,110spc4_aerobic _PSY,N50-97 micro PSY 6,GSM210226,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210227,102625,mutant_strain_N50-97_aerobic,110spc4_aerobic _PSY,N50-97 aerobic PSY 1,GSM210227,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210228,102625,mutant_strain_N50-97_aerobic,110spc4_aerobic _PSY,N50-97 aerobic PSY 2,GSM210228,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210229,102625,mutant_strain_N50-97_aerobic,110spc4_aerobic _PSY,N50-97 aerobic PSY 3,GSM210229,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210230,102625,mutant_strain_N50-97_aerobic,110spc4_aerobic _PSY,N50-97 aerobic PSY 4,GSM210230,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210231,102625,mutant_strain_N50-97_aerobic,110spc4_aerobic _PSY,N50-97 aerobic PSY 5,GSM210231,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210232,102625,mutant_strain_N50-97_aerobic,110spc4_aerobic _PSY,N50-97 aerobic PSY 6,GSM210232,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210233,102625,110spc4_nodules_soybean_31,110spc4_aerobic _PSY,110spc4 nodules soybean 31 Days 1,GSM210233,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210234,102625,110spc4_nodules_soybean_31,110spc4_aerobic _PSY,110spc4 nodules soybean 31 Days 2,GSM210234,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210235,102625,110spc4_nodules_soybean_31,110spc4_aerobic _PSY,110spc4 nodules soybean 31 Days 3,GSM210235,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210238,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 1,GSM210238,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210239,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 2,GSM210239,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210240,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 3,GSM210240,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210241,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 4,GSM210241,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210243,102625,110spc4_nodules_soybean_21,110spc4_aerobic _PSY,110spc4 nodules soybean 21 Days 2,GSM210243,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210244,102625,110spc4_nodules_soybean_21,110spc4_aerobic _PSY,110spc4 nodules soybean 21 Days 3,GSM210244,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210246,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 1,GSM210246,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210247,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 2,GSM210247,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
