,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
0,XylR/bll3916,cytochrome bo3 ubiquinol oxidase activity,1.4877775556673224e-05,0.009313487498477439,0.014778325123152709,1.0,0.029126213592233007,3.0,5.0,203.0,GO,,
1,XylR/bll3916,electron transport coupled proton transport,0.00014339466160128396,0.04488252908120188,0.014778325123152709,0.6,0.028846153846153844,3.0,7.0,203.0,GO,,
2,XylR/bll3916,aerobic electron transport chain,0.0006078422530915446,0.09512731260882673,0.009852216748768473,1.0,0.01951219512195122,2.0,4.0,203.0,GO,,
3,XylR/bll3916,cytochrome o ubiquinol oxidase complex,0.0006078422530915446,0.09512731260882673,0.009852216748768473,1.0,0.01951219512195122,2.0,4.0,203.0,GO,,
4,Flagella,bacterial-type flagellum-dependent swarming motility,6.108181089574924e-13,3.823721362073903e-10,0.13043478260869565,0.75,0.22222222222222218,6.0,14.0,46.0,GO,,
5,Flagella,plasma membrane,1.9427789652917377e-06,0.0006080898161363139,0.08695652173913043,0.23529411764705882,0.12698412698412698,4.0,22.0,46.0,GO,,
6,Flagella,bacterial-type flagellum assembly,3.0684130710127725e-05,0.006402755274846652,0.043478260869565216,1.0,0.08333333333333333,2.0,3.0,46.0,GO,,
7,Translation-1,cytosolic large ribosomal subunit,6.996103629372337e-11,2.1897804359935417e-08,0.1320754716981132,0.30434782608695654,0.1842105263157895,7.0,23.0,53.0,GO,,
8,Translation-1,structural constituent of ribosome,5.7976223743597036e-11,2.1897804359935417e-08,0.1509433962264151,0.21621621621621623,0.1777777777777778,8.0,37.0,53.0,GO,,
9,Translation-1,ribosome,2.537137049406144e-07,5.294159309760821e-05,0.05660377358490566,1.0,0.10714285714285715,3.0,3.0,53.0,GO,,
10,Translation-1,translation,7.360380122658941e-07,0.00011518994891961243,0.07547169811320754,0.3333333333333333,0.12307692307692308,4.0,12.0,53.0,GO,,
11,Translation-1,mRNA binding,2.514017940348625e-06,0.0003147550461316479,0.05660377358490566,0.6,0.10344827586206896,3.0,5.0,53.0,GO,,
12,Translation-1,large ribosomal subunit,5.005082207715459e-06,0.0005221969103383129,0.05660377358490566,0.5,0.1016949152542373,3.0,6.0,53.0,GO,,
13,Translation-1,small ribosomal subunit,0.0011157871248595015,0.09978324859457828,0.03773584905660377,0.25,0.06557377049180328,2.0,8.0,53.0,GO,,
14,HutC,histidine catabolic process,1.334092639570771e-06,0.0008351419923713027,0.2,1.0,0.33333333333333337,2.0,2.0,10.0,GO,,
15,AA_transport,aerobic electron transport chain,8.182434856034063e-06,0.002561102109938662,0.08333333333333333,1.0,0.15384615384615385,2.0,4.0,24.0,GO,,
16,AA_transport,cytochrome o ubiquinol oxidase complex,8.182434856034063e-06,0.002561102109938662,0.08333333333333333,1.0,0.15384615384615385,2.0,4.0,24.0,GO,,
17,AA_transport,cytochrome bo3 ubiquinol oxidase activity,2.4503462978517983e-05,0.00511305594151742,0.08333333333333333,0.6666666666666666,0.14814814814814814,2.0,5.0,24.0,GO,,
18,AA_transport,electron transport coupled proton transport,8.138677306941147e-05,0.012737029985362896,0.08333333333333333,0.4,0.13793103448275862,2.0,7.0,24.0,GO,,
19,AA_transport,integral component of plasma membrane,0.0007288105027736832,0.09124707494726514,0.08333333333333333,0.14285714285714285,0.10526315789473685,2.0,17.0,24.0,GO,,
20,BioR,biotin biosynthetic process,1.3785623942231299e-05,0.008629800587836793,0.06451612903225806,1.0,0.12121212121212122,2.0,2.0,31.0,GO,,
0,T3SS,map03070,0.00016280441840404522,0.04232914878505176,0.08888888888888889,0.0784313725490196,0.08333333333333333,4.0,51.0,45.0,KEGG pathways,Bacterial secretion system,
1,FixK2-1,map00680,0.00022481671824618442,0.029226173372003974,0.04918032786885246,0.1016949152542373,0.06629834254143646,6.0,59.0,122.0,KEGG pathways,Methane metabolism,
2,FixK2-1,map00720,0.00012316294896909846,0.029226173372003974,0.04918032786885246,0.11320754716981132,0.06857142857142857,6.0,53.0,122.0,KEGG pathways,Carbon fixation pathways in prokaryotes,
3,FixK2-1,map00430,0.0010324762311445762,0.07083486905305483,0.02459016393442623,0.21428571428571427,0.04411764705882353,3.0,14.0,122.0,KEGG pathways,Taurine and hypotaurine metabolism,
4,FixK2-1,map00620,0.0010897672162008436,0.07083486905305483,0.04918032786885246,0.0759493670886076,0.05970149253731343,6.0,79.0,122.0,KEGG pathways,Pyruvate metabolism,
5,NifA,map00633,8.68890383182052e-06,0.0019970730552150294,0.02531645569620253,0.5,0.048192771084337345,4.0,8.0,158.0,KEGG pathways,Nitrotoluene degradation,
6,NifA,map00910,1.5362100424730997e-05,0.0019970730552150294,0.04430379746835443,0.16279069767441862,0.06965174129353234,7.0,43.0,158.0,KEGG pathways,Nitrogen metabolism,
8,Methane,map00640,5.147101208533464e-07,0.00013382463142187006,0.35714285714285715,0.04854368932038835,0.08547008547008547,5.0,103.0,14.0,KEGG pathways,Propanoate metabolism,
9,Methane,map00626,0.00036158117517441033,0.026191152674613638,0.14285714285714285,0.11764705882352941,0.12903225806451615,2.0,17.0,14.0,KEGG pathways,Naphthalene degradation,
10,Methane,map01220,0.00037111861321528663,0.026191152674613638,0.21428571428571427,0.03488372093023256,0.06,3.0,86.0,14.0,KEGG pathways,Degradation of aromatic compounds,
