,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,label_ch1,taxid_ch1,scan_protocol,description,data_processing,platform_id,supplementary_file,data_row_count,characteristics_ch1.1,characteristics_ch1.2,supplementary_file.1,Genotype:ch1,Growth condition:ch1,Medium:ch1,characteristics_ch1.3,treatment_protocol_ch1,Time:ch1,description.1,contact_laboratory,genotype:ch1,growth condition:ch1,medium:ch1,time:ch1,growth medium:ch1,strain:ch1,treatment group:ch1,characteristics_ch1.4,genotype/variation:ch1,phase:ch1,treatment:ch1,host plant:ch1,infected with:ch1,time point:ch1,tissue:ch1,contact_web_link,Induction time:ch1
GSM94778,"Bradyrhizobium japonicum strain LO, low iron, biological rep_1",Public on Mar 15 2006,Feb 01 2006,Feb 02 2006,RNA,1,Cells,Bradyrhizobium japonicum,Parent strain LO grown in low iron media,Grown in 0.5 GSY media with no added iron,total RNA,biotin,375,standard Affymetrix procedures,Cells grown in low iron media,GeneChip Operating Software (GCOS) version 1.1 (Affymetrix),GPL3401,NONE,18968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM94780,"Bradyrhizobium japonicum strain LO, low iron, biological rep_2",Public on Mar 15 2006,Feb 01 2006,Feb 02 2006,RNA,1,Cells,Bradyrhizobium japonicum,Parent strain LO grown in low iron media,Grown in 0.5 GSY media with no added iron,total RNA,biotin,375,standard Affymetrix procedures,Cells grown in low iron media,GeneChip Operating Software (GCOS) version 1.1 (Affymetrix),GPL3401,NONE,18968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM94781,"Bradyrhizobium japonicum strain LO, low iron, biological rep_3",Public on Mar 15 2006,Feb 01 2006,Feb 02 2006,RNA,1,Cells,Bradyrhizobium japonicum,Parent strain LO grown in low iron media,Grown in 0.5 GSY media with no added iron,total RNA,biotin,375,standard Affymetrix procedures,Cells grown in low iron media,GeneChip Operating Software (GCOS) version 1.1 (Affymetrix),GPL3401,NONE,18968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM94783,"Bradyrhizobium japonicum strain LO, high iron, biological rep_1",Public on Mar 15 2006,Feb 01 2006,Feb 02 2006,RNA,1,Cells,Bradyrhizobium japonicum,Parent strain LO grown in high iron media,Grown in 0.5 GSY media supplemented with 12 uM ferric chloride,total RNA,biotin,375,standard Affymetrix procedures,Cells grown in high iron media,GeneChip Operating Software (GCOS) version 1.1 (Affymetrix),GPL3401,NONE,18968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM94784,"Bradyrhizobium japonicum strain LO, high iron, biological rep_2",Public on Mar 15 2006,Feb 01 2006,Feb 02 2006,RNA,1,Cells,Bradyrhizobium japonicum,Parent strain LO grown in high iron media,Grown in 0.5 GSY media supplemented with 12 uM ferric chloride,total RNA,biotin,375,standard Affymetrix procedures,Cells grown in high iron media,GeneChip Operating Software (GCOS) version 1.1 (Affymetrix),GPL3401,NONE,18968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM94785,"Bradyrhizobium japonicum strain LO, high iron, biological rep_3",Public on Mar 15 2006,Feb 01 2006,Feb 02 2006,RNA,1,Cells,Bradyrhizobium japonicum,Parent strain LO grown in high iron media,Grown in 0.5 GSY media supplemented with 12 uM ferric chloride,total RNA,biotin,375,standard Affymetrix procedures,Cells grown in high iron media,GeneChip Operating Software (GCOS) version 1.1 (Affymetrix),GPL3401,NONE,18968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM281813,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_1",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum pmtA mutant strain grown aerobically,Bradyrhizobium japonicum,Genotype: 5569,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at ",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum pmtA mutant strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281813/suppl/GSM281813.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281813/suppl/GSM281813.CHP.gz,5569,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281814,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_2",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum pmtA mutant strain grown aerobically,Bradyrhizobium japonicum,Genotype: 5569,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at ",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum pmtA mutant strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281814/suppl/GSM281814.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281814/suppl/GSM281814.CHP.gz,5569,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281815,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_3",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum pmtA mutant strain grown aerobically,Bradyrhizobium japonicum,Genotype: 5569,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum pmtA mutant strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281815/suppl/GSM281815.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281815/suppl/GSM281815.CHP.gz,5569,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281816,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_4",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum pmtA mutant strain grown aerobically,Bradyrhizobium japonicum,Genotype: 5569,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum pmtA mutant strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281816/suppl/GSM281816.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281816/suppl/GSM281816.CHP.gz,5569,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281817,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_5",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum pmtA mutant strain grown aerobically,Bradyrhizobium japonicum,Genotype: 5569,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum pmtA mutant strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281817/suppl/GSM281817.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281817/suppl/GSM281817.CHP.gz,5569,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281818,"Bradyrhizobium japonicum wild-type strain USDA110spc4, rep_1",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281818/suppl/GSM281818.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281818/suppl/GSM281818.CHP.gz,110spc4,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281819,"Bradyrhizobium japonicum wild-type strain USDA110spc4, rep_2",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281819/suppl/GSM281819.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281819/suppl/GSM281819.CHP.gz,110spc4,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281820,"Bradyrhizobium japonicum wild-type strain USDA110spc4, rep_3",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281820/suppl/GSM281820.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281820/suppl/GSM281820.CHP.gz,110spc4,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281821,"Bradyrhizobium japonicum wild-type strain USDA110spc4, rep_4",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281821/suppl/GSM281821.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281821/suppl/GSM281821.CHP.gz,110spc4,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM281822,"Bradyrhizobium japonicum wild-type strain USDA110spc4, rep_5",Public on Apr 17 2008,Apr 16 2008,Apr 16 2008,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,"Cells were grown to mid-exponential phase (OD600 of 0.4-0.5). For harvesting, cultures were rapidly transferred to cold tubes containing one tenth of the culture volume of top solution(10% Tris-HCl-buffered phenol [pH 8] in ethanol), centrifuged for 5 min (10,800 g; 4C), the supernatant was decanted, and cells were frozen in liquid nitrogen and stored at",total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown aerobically,"Signal intensities were detected and analyzed with the Affymetrix gene chip operating software version 1.2 (GCOS; Affymetrix) using the algorithms described in the Affymetrix statistical algorithms description document (http://www.affymetrix.com). Data were globally scaled to a target intensity of 500, and default statistical parameters of GCOS  were applied. ",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281822/suppl/GSM281822.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281822/suppl/GSM281822.CHP.gz,110spc4,aerobic,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM210242,110spc4 nodules soybean 21 Days 1,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain in nodules soybean 21 days post infection,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain in nodules soybean 21 days post infection,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210242/suppl/GSM210242.CEL.gz,18968,Growth condition: nodules,Medium: soybean,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210242/suppl/GSM210242.CHP.gz,110spc4,nodules,soybean,Time: 21 Days,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM210243,110spc4 nodules soybean 21 Days 2,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain in nodules soybean 21 days post infection,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain in nodules soybean 21 days post infection,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210243/suppl/GSM210243.CEL.gz,18968,Growth condition: nodules,Medium: soybean,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210243/suppl/GSM210243.CHP.gz,110spc4,nodules,soybean,Time: 21 Days,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM210244,110spc4 nodules soybean 21 Days 3,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain in nodules soybean 21 days post infection,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain in nodules soybean 21 days post infection,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210244/suppl/GSM210244.CEL.gz,18968,Growth condition: nodules,Medium: soybean,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210244/suppl/GSM210244.CHP.gz,110spc4,nodules,soybean,Time: 21 Days,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM210245,110spc4 nodules soybean 21 Days 4,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain in nodules soybean 21 days post infection,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain in nodules soybean 21 days post infection,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210245/suppl/GSM210245.CEL.gz,18968,Growth condition: nodules,Medium: soybean,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210245/suppl/GSM210245.CHP.gz,110spc4,nodules,soybean,Time: 21 Days,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM210246,110spc4 micro PSY 1,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown microaerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown microaerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210246/suppl/GSM210246.CEL.gz,18968,Growth condition: micro,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210246/suppl/GSM210246.CHP.gz,110spc4,micro,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
GSM210247,110spc4 micro PSY 2,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown microaerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown microaerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210247/suppl/GSM210247.CEL.gz,18968,Growth condition: micro,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210247/suppl/GSM210247.CHP.gz,110spc4,micro,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
GSM210248,110spc4 micro PSY 3,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown microaerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown microaerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210248/suppl/GSM210248.CEL.gz,18968,Growth condition: micro,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210248/suppl/GSM210248.CHP.gz,110spc4,micro,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
GSM210249,110spc4 micro PSY 4,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown microaerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown microaerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210249/suppl/GSM210249.CEL.gz,18968,Growth condition: micro,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210249/suppl/GSM210249.CHP.gz,110spc4,micro,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
GSM210250,110spc4 micro PSY 5,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown microaerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown microaerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210250/suppl/GSM210250.CEL.gz,18968,Growth condition: micro,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210250/suppl/GSM210250.CHP.gz,110spc4,micro,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
