,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
bll0005,BA000040.2,4427,4750,-,bll0005,AAV28_RS38585,hypothetical protein,No COG annotation,,Op5579,
bll0006,BA000040.2,4972,6054,-,nrdB,AAV28_RS38590,ribonucleotide-diphosphate reductase subunit beta,Nucleotide transport and metabolism,,Op5580,NrdR
bll0007,BA000040.2,6036,8207,-,bll0007,AAV28_RS38595,ribonucleoside-diphosphate reductase subunit alpha,Nucleotide transport and metabolism,,Op5580,NrdR
bll0008,BA000040.2,8380,8688,-,bll0008,,,"Replication, recombination and repair",,-,
bll0009,BA000040.2,8962,9714,-,bll0009,AAV28_RS38605,GNAT family N-acetyltransferase,Transcription,,Op5582,
bll0010,BA000040.2,10345,10743,-,bll0010,,,No COG annotation,,-,
bll0011,BA000040.2,10872,11492,-,bll0011,,,No COG annotation,,-,
bll0014,BA000040.2,13421,13804,-,bll0014,,,"Replication, recombination and repair",,-,
bll0015,BA000040.2,13680,14069,-,bll0015,,,"Replication, recombination and repair",,-,
bll0020,BA000040.2,17139,18371,-,bll0020,AAV28_RS38640,cytochrome P450,"Secondary metabolites biosynthesis, transport, and catabolism",Q89YD4,Op5591,
bll0021,BA000040.2,18497,20497,-,bll0021,AAV28_RS38645,cytochrome c,Energy production and conversion,Q89YD3,Op5592,
bll0025,BA000040.2,24726,26486,-,bll0025,AAV28_RS38665,oleate hydratase,Function unknown,Q89YC9,Op5596,
bll0026,BA000040.2,26532,27290,-,bll0026,AAV28_RS38670,glucose 1-dehydrogenase,Lipid transport and metabolism,Q89YC8,Op5597,
bll0031,BA000040.2,31338,31715,-,bll0031,,,No COG annotation,,-,
bll0040,BA000040.2,35827,36150,-,bll0040,AAV28_RS38715,GFA family protein,Function unknown,,Op5608,
bll0042,BA000040.2,36857,37297,-,bll0042,AAV28_RS38720,ribbon-helix-helix protein%2C CopG family,Transcription,Q89YB2,Op5610,
bll0043,BA000040.2,37305,39332,-,traG,AAV28_RS38725,conjugal transfer protein TraG,"Intracellular trafficking, secretion, and vesicular transport",,Op5610,
bll0044,BA000040.2,39329,41203,-,bll0044,AAV28_RS38730,VirD2 family relaxase/mobilization nuclease,"Intracellular trafficking, secretion, and vesicular transport",,Op5611,
bll0045,BA000040.2,41537,42445,-,bll0045,AAV28_RS38735,transglycosylase SLT domain-containing protein,Cell wall/membrane/envelope biogenesis,,Op5612,
bll0046,BA000040.2,42450,42785,-,bll0046,AAV28_RS38740,DUF736 domain-containing protein,Function unknown,Q89YA8,Op5613,
bll0047,BA000040.2,42820,43365,-,traF,AAV28_RS38745,S26 family signal peptidase,"Post-translational modification, protein turnover, and chaperones",Q89YA7,Op5613,
bll0048,BA000040.2,43362,43880,-,bll0048,AAV28_RS38750,DUF2840 domain-containing protein,Function unknown,Q89YA6,Op5613,
bll0050,BA000040.2,44130,44768,-,bll0050,AAV28_RS38760,AAA family ATPase,"Cell cycle control, cell division, chromosome partitioning",Q89YA4,Op5613,
bll0051,BA000040.2,44765,46042,-,repA,AAV28_RS38765,replication initiator protein A,"Replication, recombination and repair",,Op5613,
bll0052,BA000040.2,45894,46265,-,bll0052,AAV28_RS38770,helix-turn-helix domain-containing protein,Transcription,,Op5613,
bll0053,BA000040.2,46349,47044,-,bll0053,AAV28_RS38775,DUF2285 domain-containing protein,Function unknown,,Op5614,
bll0057,BA000040.2,48674,49036,-,bll0057,AAV28_RS06330,DUF736 domain-containing protein,Function unknown,H7C6R9,Op917,
bll0061,BA000040.2,51544,52068,-,bll0061,AAV28_RS38810,hypothetical protein,No COG annotation,,Op5622,
