,gene_id,database,kegg_id
0,blr0001,KEGG_orth,-
1,blr0002,KEGG_orth,-
3,bll0005,KEGG_orth,-
7,bll0009,KEGG_orth,-
8,bll0010,KEGG_orth,-
9,bll0011,KEGG_orth,-
10,blr0012,KEGG_orth,-
11,blr0013,KEGG_orth,-
12,bll0014,KEGG_orth,-
13,bll0015,KEGG_orth,-
14,bsl0016,KEGG_orth,-
15,blr0017,KEGG_orth,-
17,blr0019,KEGG_orth,-
18,bll0020,KEGG_orth,-
19,bll0021,KEGG_orth,-
20,bsr0022,KEGG_orth,-
22,blr0024,KEGG_orth,-
25,bsr0027,KEGG_orth,-
26,blr0028,KEGG_orth,-
27,bsr0029,KEGG_orth,-
28,blr0030,KEGG_orth,-
29,bsl0032,KEGG_orth,-
30,bsr0033,KEGG_orth,-
35,bsr0038,KEGG_orth,-
36,bsr0039,KEGG_orth,-
37,bll0040,KEGG_orth,-
38,bll0042,KEGG_orth,-
40,bll0044,KEGG_orth,-
41,bll0045,KEGG_orth,-
42,bll0046,KEGG_orth,-
43,bll0047,KEGG_orth,-
44,bll0048,KEGG_orth,-
45,bsl0049,KEGG_orth,-
47,bll0051,KEGG_orth,-
48,bll0052,KEGG_orth,-
49,bll0053,KEGG_orth,-
50,bsl0054,KEGG_orth,-
51,bsr0055,KEGG_orth,-
52,blr0056,KEGG_orth,-
53,bll0057,KEGG_orth,-
54,blr0058,KEGG_orth,-
56,blr0060,KEGG_orth,-
57,bll0061,KEGG_orth,-
58,blr0062,KEGG_orth,-
59,bll0063,KEGG_orth,-
60,bll0064,KEGG_orth,-
62,bll0066,KEGG_orth,-
63,bsr0067,KEGG_orth,-
65,bll0069,KEGG_orth,-
66,bll0070,KEGG_orth,-
67,bsr0071,KEGG_orth,-
68,blr0072,KEGG_orth,-
69,blr0073,KEGG_orth,-
70,blr0074,KEGG_orth,-
72,bll0076,KEGG_orth,-
73,blr0077,KEGG_orth,-
75,bll0079,KEGG_orth,-
76,blr0080,KEGG_orth,-
77,bll0081,KEGG_orth,-
78,bll0082,KEGG_orth,-
79,bll0083,KEGG_orth,-
80,blr0084,KEGG_orth,-
81,bll0085,KEGG_orth,-
82,bll0086,KEGG_orth,-
83,bll0087,KEGG_orth,-
84,bll0088,KEGG_orth,-
89,bsr0093,KEGG_orth,-
90,blr0094,KEGG_orth,-
92,bll0096,KEGG_orth,-
94,bsl0098,KEGG_orth,-
95,bll0099,KEGG_orth,-
97,blr0101,KEGG_orth,-
100,bll0104,KEGG_orth,-
102,blr0105,KEGG_orth,-
103,blr0106,KEGG_orth,-
105,bll0108,KEGG_orth,-
112,bll0114,KEGG_orth,-
113,blr0115,KEGG_orth,-
120,bll0121,KEGG_orth,-
121,blr0122,KEGG_orth,-
123,blr0124,KEGG_orth,-
125,blr0126,KEGG_orth,-
126,bsr0127,KEGG_orth,-
127,bll0128,KEGG_orth,-
128,bll0129,KEGG_orth,-
132,bll0132,KEGG_orth,-
134,blr0135,KEGG_orth,-
135,bsr0136,KEGG_orth,-
139,blr0140,KEGG_orth,-
141,bll0142,KEGG_orth,-
144,blr0145,KEGG_orth,-
145,blr0146,KEGG_orth,-
146,blr0147,KEGG_orth,-
147,bll0148,KEGG_orth,-
160,bll0161,KEGG_orth,-
162,bll0163,KEGG_orth,-
163,blr0165,KEGG_orth,-
165,bll0167,KEGG_orth,-
166,bsl0168,KEGG_orth,-
167,bsl0169,KEGG_orth,-
168,bsl0170,KEGG_orth,-
169,blr0171,KEGG_orth,-
170,blr0172,KEGG_orth,-
171,bsr0173,KEGG_orth,-
172,bll0174,KEGG_orth,-
175,bll0176,KEGG_orth,-
176,bll0177,KEGG_orth,-
178,bll0179,KEGG_orth,-
184,bll0184,KEGG_orth,-
191,bsr0189,KEGG_orth,-
194,blr0192,KEGG_orth,-
202,bll0199,KEGG_orth,-
203,blr0200,KEGG_orth,-
204,bll0203,KEGG_orth,-
210,bll0208,KEGG_orth,-
211,blr0209,KEGG_orth,-
214,blr0212,KEGG_orth,-
215,bll0213,KEGG_orth,-
217,bll0215,KEGG_orth,-
222,blr0220,KEGG_orth,-
223,bll0221,KEGG_orth,-
226,bll0224,KEGG_orth,-
229,blr0227,KEGG_orth,-
230,blr0228,KEGG_orth,-
233,bsl0231,KEGG_orth,-
234,blr0232,KEGG_orth,-
235,bll0233,KEGG_orth,-
236,bll0234,KEGG_orth,-
237,bll0235,KEGG_orth,-
239,blr0237,KEGG_orth,-
240,blr0238,KEGG_orth,-
241,blr0239,KEGG_orth,-
246,bll0243,KEGG_orth,-
250,blr0248,KEGG_orth,-
251,blr0249,KEGG_orth,-
254,blr0252,KEGG_orth,-
256,bll0254,KEGG_orth,-
257,bsl0255,KEGG_orth,-
258,bll0256,KEGG_orth,-
259,blr0257,KEGG_orth,-
260,blr0258,KEGG_orth,-
261,blr0259,KEGG_orth,-
262,blr0260,KEGG_orth,-
263,blr0261,KEGG_orth,-
278,bll0271,KEGG_orth,-
279,bll0272,KEGG_orth,-
280,blr0274,KEGG_orth,-
281,bll0275,KEGG_orth,-
287,blr0278,KEGG_orth,-
288,blr0279,KEGG_orth,-
289,bll0280,KEGG_orth,-
294,bll0285,KEGG_orth,-
296,bll0287,KEGG_orth,-
298,bll0289,KEGG_orth,-
302,blr0293,KEGG_orth,-
303,blr0294,KEGG_orth,-
304,bll0295,KEGG_orth,-
305,bsl0296,KEGG_orth,-
306,blr0297,KEGG_orth,-
307,blr0299,KEGG_orth,-
308,bll0300,KEGG_orth,-
309,bll0301,KEGG_orth,-
311,bll0303,KEGG_orth,-
313,blr0305,KEGG_orth,-
314,blr0306,KEGG_orth,-
315,bll0307,KEGG_orth,-
321,bll0313,KEGG_orth,-
331,blr0321,KEGG_orth,-
334,bll0324,KEGG_orth,-
335,blr0325,KEGG_orth,-
336,bll0326,KEGG_orth,-
338,blr0328,KEGG_orth,-
339,blr0329,KEGG_orth,-
340,bll0330,KEGG_orth,-
341,bll0331,KEGG_orth,-
342,bll0332,KEGG_orth,-
343,bll0333,KEGG_orth,-
350,blr0340,KEGG_orth,-
354,bll0344,KEGG_orth,-
355,bsl0345,KEGG_orth,-
357,blr0347,KEGG_orth,-
358,bsl0348,KEGG_orth,-
359,blr0349,KEGG_orth,-
360,bll0351,KEGG_orth,-
361,blr0352,KEGG_orth,-
362,blr0353,KEGG_orth,-
363,blr0354,KEGG_orth,-
364,blr0355,KEGG_orth,-
369,blr0360,KEGG_orth,-
370,bll0361,KEGG_orth,-
371,bll0362,KEGG_orth,-
372,blr0364,KEGG_orth,-
374,blr0366,KEGG_orth,-
377,blr0369,KEGG_orth,-
378,bll0370,KEGG_orth,-
379,blr0371,KEGG_orth,-
380,blr0372,KEGG_orth,-
382,bll0374,KEGG_orth,-
383,bll0375,KEGG_orth,-
385,bll0377,KEGG_orth,-
