## Fri Feb 17 08:44:46 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
blr0001	224911.27348248	8.74e-69	208.0	2BKJV@1|root,32F13@2|Bacteria,1NWNB@1224|Proteobacteria,2US6K@28211|Alphaproteobacteria,3K49A@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0002	1037409.BJ6T_00020	1.1e-121	347.0	2BT27@1|root,32N6K@2|Bacteria,1NTPJ@1224|Proteobacteria,2UNTI@28211|Alphaproteobacteria,3K34R@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0003	1038862.KB893882_gene6170	6.02e-146	410.0	COG3637@1|root,COG3637@2|Bacteria,1MWEG@1224|Proteobacteria,2TSCB@28211|Alphaproteobacteria,3JTF0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Function proposed based on presence of conserved amino acid motif, structural feature or limited homology	-	-	-	ko:K16079	-	-	-	-	ko00000,ko02000	1.B.4.2.1	-	-	OMP_b-brl
bll0005	224911.27348252	8.76e-73	218.0	2AKHS@1|root,31B9Q@2|Bacteria,1NYQ0@1224|Proteobacteria,2UTBD@28211|Alphaproteobacteria,3K4DZ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0006	224911.27348253	2.75e-269	736.0	COG0208@1|root,COG0208@2|Bacteria,1MWUS@1224|Proteobacteria,2TS3X@28211|Alphaproteobacteria,3JWYA@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	nrdF	-	1.17.4.1	ko:K00526	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R02017,R02018,R02019,R02024	RC00613	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	Ribonuc_red_sm
bll0007	224911.27348254	0.0	1439.0	COG0209@1|root,COG0209@2|Bacteria,1MUJ8@1224|Proteobacteria,2TS19@28211|Alphaproteobacteria,3JTAV@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	nrdA	-	1.17.4.1	ko:K00525	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R02017,R02018,R02019,R02024	RC00613	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	ATP-cone,RNR_N,Ribonuc_red_lgC,Ribonuc_red_lgN
bll0008	224911.27348255	8.3e-71	213.0	COG3293@1|root,COG3293@2|Bacteria	2|Bacteria	L	Transposase	-	-	-	ko:K07492	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DDE_Tnp_1_2,DUF4096
bll0009	224911.27348256	4.52e-190	526.0	COG0454@1|root,COG0456@2|Bacteria,1RDNX@1224|Proteobacteria,2U70R@28211|Alphaproteobacteria,3JYM0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10
bll0010	1037409.BJ6T_00110	8.26e-92	268.0	2BSYJ@1|root,32N2D@2|Bacteria,1NTKH@1224|Proteobacteria,2UP00@28211|Alphaproteobacteria,3K2SF@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0011	224911.27348258	3.45e-145	409.0	29VQ9@1|root,30H7P@2|Bacteria,1NSWB@1224|Proteobacteria,2UPH6@28211|Alphaproteobacteria,3K391@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
